,Crop,Sowing Time,Region,Min Temp,Max Temp,Soil pH,Soil Type,Min Rainfall,Max Rainfall
132,blackgram,october,madhya pradesh,25,35,7,black cotton soil,60,75
133,blackgram,november,madhya pradesh,25,35,7,black cotton soil,60,75
134,blackgram,july,maharashtra,25,35,7,black cotton soil,60,75
135,blackgram,august,maharashtra,25,35,7,black cotton soil,60,75
137,blackgram,april,odisha,25,35,7,black cotton soil,60,75
138,blackgram,may,odisha,25,35,7,black cotton soil,60,75
139,blackgram,june,odisha,25,35,7,black cotton soil,60,75
141,blackgram,july,rajasthan,25,35,7,black cotton soil,60,75
142,blackgram,august,rajasthan,25,35,7,black cotton soil,60,75
144,blackgram,august,tamil nadu,25,35,7,black cotton soil,60,75
145,blackgram,september,tamil nadu,25,35,7,black cotton soil,60,75
146,blackgram,october,tamil nadu,25,35,7,black cotton soil,60,75
147,blackgram,november,tamil nadu,25,35,7,black cotton soil,60,75
148,blackgram,december,tamil nadu,25,35,7,black cotton soil,60,75
150,blackgram,april,uttar pradesh,25,35,7,black cotton soil,60,75
151,blackgram,may,uttar pradesh,25,35,7,black cotton soil,60,75
152,blackgram,june,uttar pradesh,25,35,7,black cotton soil,60,75
154,blackgram,march,west bengal,25,35,7,black cotton soil,60,75
155,blackgram,april,west bengal,25,35,7,black cotton soil,60,75
156,blackgram,may,west bengal,25,35,7,black cotton soil,60,75
157,blackgram,june,west bengal,25,35,7,black cotton soil,60,75
158,horsegram,august,karnataka,25,30,5.5,laterite soil,30,80
159,horsegram,august,odisha,25,30,5.5,laterite soil,30,80
160,horsegram,august,chhattisgarh,25,30,5.5,laterite soil,30,80
161,horsegram,august,bihar,25,30,5.5,laterite soil,30,80
162,horsegram,august,jharkhand,25,30,5.5,laterite soil,30,80
163,horsegram,october,west bengal,25,30,5.5,laterite soil,30,80
164,horsegram,november,west bengal,25,30,5.5,laterite soil,30,80
165,horsegram,october,tamil nadu,25,30,5.5,laterite soil,30,80
166,horsegram,august,madhya pradesh,25,30,5.5,laterite soil,30,80
167,horsegram,july,maharashtra,25,30,5.5,laterite soil,30,80
168,horsegram,july,rajasthan,25,30,5.5,laterite soil,30,80
169,horsegram,june,himachal pradesh,25,30,5.5,laterite soil,30,80
170,horsegram,july,himachal pradesh,25,30,5.5,laterite soil,30,80
171,horsegram,august,andhra pradesh,25,30,5.5,laterite soil,30,80
172,jowar,october,andhra pradesh,25,32,6,clay soil,30,60
173,jowar,november,andhra pradesh,25,32,6,clay soil,30,60
174,jowar,december,andhra pradesh,25,32,6,clay soil,30,60
175,jowar,february,andhra pradesh,25,32,6,clay soil,30,60
176,jowar,march,andhra pradesh,25,32,6,clay soil,30,60
177,jowar,may,andhra pradesh,25,32,6,clay soil,30,60
178,jowar,june,bihar,25,32,6,clay soil,30,60
179,jowar,july,bihar,25,32,6,clay soil,30,60
180,jowar,june,gujrat,25,32,6,clay soil,30,60
181,jowar,july,gujrat,25,32,6,clay soil,30,60
182,jowar,june,haryana,18,32,6,clay soil,30,60
183,jowar,november,haryana,18,32,6,clay soil,30,60
184,jowar,december,haryana,18,32,6,clay soil,30,60
185,jowar,may,karnataka,25,32,6,clay soil,30,60
186,jowar,june,karnataka,25,32,6,clay soil,30,60
187,jowar,july,karnataka,25,32,6,clay soil,30,60
188,jowar,september,karnataka,25,32,6,clay soil,30,60
189,jowar,october,karnataka,25,32,6,clay soil,30,60
190,jowar,january,karnataka,25,32,6,clay soil,30,60
191,jowar,february,karnataka,25,32,6,clay soil,30,60
192,jowar,march,karnataka,25,32,6,clay soil,30,60
193,jowar,october,madhya pradesh,25,32,6,clay soil,30,60
194,jowar,november,madhya pradesh,25,32,6,clay soil,30,60
195,jowar,december,madhya pradesh,25,32,6,clay soil,30,60
196,jowar,february,madhya pradesh,25,32,6,clay soil,30,60
197,jowar,march,madhya pradesh,25,32,6,clay soil,30,60
198,jowar,may,madhya pradesh,25,32,6,clay soil,30,60
199,jowar,may,maharashtra,25,32,6,clay soil,30,60
200,jowar,june,maharashtra,25,32,6,clay soil,30,60
201,jowar,july,maharashtra,25,32,6,clay soil,30,60
202,jowar,september,maharashtra,25,32,6,clay soil,30,60
203,jowar,october,maharashtra,25,32,6,clay soil,30,60
204,jowar,january,maharashtra,25,32,6,clay soil,30,60
205,jowar,february,maharashtra,25,32,6,clay soil,30,60
206,jowar,march,maharashtra,25,32,6,clay soil,30,60
207,jowar,june,punjab,25,32,6,clay soil,30,60
208,jowar,july,punjab,25,32,6,clay soil,30,60
209,jowar,june,rajasthan,25,32,6,clay soil,30,60
210,jowar,july,rajasthan,25,32,6,clay soil,30,60
211,jowar,october,tamil nadu,25,32,6,clay soil,30,60
212,jowar,november,tamil nadu,25,32,6,clay soil,30,60
213,jowar,december,tamil nadu,25,32,6,clay soil,30,60
214,jowar,february,tamil nadu,25,32,6,clay soil,30,60
215,jowar,march,tamil nadu,25,32,6,clay soil,30,60
216,jowar,may,tamil nadu,25,32,6,clay soil,30,60
217,jowar,june,uttar pradesh,25,32,6,clay soil,30,60
218,jowar,july,uttar pradesh,25,32,6,clay soil,30,60
219,jowar,june,uttarakhand,25,32,6,clay soil,30,60
220,jowar,july,uttarakhand,25,32,6,clay soil,30,60
221,jowar,march,uttarakhand,25,32,6,clay soil,30,60
222,jowar,april,uttarakhand,25,32,6,clay soil,30,60
223,jowar,may,uttarakhand,25,32,6,clay soil,30,60
224,jowar,june,west bengal,25,32,6,clay soil,30,60
225,jowar,july,west bengal,25,32,6,clay soil,30,60
226,jowar,october,telangana,25,32,6,clay soil,30,60
227,jowar,november,telangana,25,32,6,clay soil,30,60
228,jowar,december,telangana,25,32,6,clay soil,30,60
229,jowar,february,telangana,25,32,6,clay soil,30,60
230,jowar,march,telangana,25,32,6,clay soil,30,60
231,jowar,may,telangana,25,32,6,clay soil,30,60
232,kidneybeans,october,bihar,15,25,5.6,clay soil,60,150
233,kidneybeans,november,bihar,15,25,5.6,clay soil,60,150
234,kidneybeans,january,bihar,15,25,5.6,clay soil,60,150
235,kidneybeans,february,bihar,15,25,5.6,clay soil,60,150
236,kidneybeans,june,bihar,15,25,5.6,clay soil,60,150
237,kidneybeans,july,bihar,15,25,5.6,clay soil,60,150
238,kidneybeans,january,gujrat,15,25,5.6,clay soil,60,150
239,kidneybeans,february,gujrat,15,25,5.6,clay soil,60,150
240,kidneybeans,june,gujrat,15,25,5.6,clay soil,60,150
241,kidneybeans,july,gujrat,15,25,5.6,clay soil,60,150
242,kidneybeans,october,gujrat,15,25,5.6,clay soil,60,150
243,kidneybeans,november,gujrat,15,25,5.6,clay soil,60,150
244,kidneybeans,june,himachal pradesh,15,25,5.6,clay soil,60,150
245,kidneybeans,july,himachal pradesh,15,25,5.6,clay soil,60,150
246,kidneybeans,january,himachal pradesh,15,25,5.6,clay soil,60,150
247,kidneybeans,february,himachal pradesh,15,25,5.6,clay soil,60,150
248,kidneybeans,october,himachal pradesh,15,25,5.6,clay soil,60,150
249,kidneybeans,november,himachal pradesh,15,25,5.6,clay soil,60,150
250,kidneybeans,january,jammu kashmir,15,25,5.6,clay soil,60,150
251,kidneybeans,february,jammu kashmir,15,25,5.6,clay soil,60,150
252,kidneybeans,june,jammu kashmir,15,25,5.6,clay soil,60,150
253,kidneybeans,july,jammu kashmir,15,25,5.6,clay soil,60,150
254,kidneybeans,october,jammu kashmir,15,25,5.6,clay soil,60,150
255,kidneybeans,november,jammu kashmir,15,25,5.6,clay soil,60,150
256,kidneybeans,january,karnataka,15,25,5.6,clay soil,60,150
257,kidneybeans,february,karnataka,15,25,5.6,clay soil,60,150
258,kidneybeans,may,karnataka,15,25,5.6,clay soil,60,150
259,kidneybeans,june,karnataka,15,25,5.6,clay soil,60,150
260,kidneybeans,july,karnataka,15,25,5.6,clay soil,60,150
261,kidneybeans,august,karnataka,15,25,5.6,clay soil,60,150
262,kidneybeans,september,karnataka,15,25,5.6,clay soil,60,150
263,kidneybeans,october,karnataka,15,25,5.6,clay soil,60,150
264,kidneybeans,november,karnataka,15,25,5.6,clay soil,60,150
265,kidneybeans,december,karnataka,15,25,5.6,clay soil,60,150
266,kidneybeans,january,kerala,15,25,5.6,clay soil,60,150
267,kidneybeans,february,kerala,15,25,5.6,clay soil,60,150
268,kidneybeans,june,kerala,15,25,5.6,clay soil,60,150
269,kidneybeans,july,kerala,15,25,5.6,clay soil,60,150
270,kidneybeans,october,kerala,15,25,5.6,clay soil,60,150
271,kidneybeans,november,kerala,15,25,5.6,clay soil,60,150
272,kidneybeans,october,maharashtra,15,25,5.6,clay soil,60,150
273,kidneybeans,november,maharashtra,15,25,5.6,clay soil,60,150
274,kidneybeans,january,maharashtra,15,25,5.6,clay soil,60,150
275,kidneybeans,february,maharashtra,15,25,5.6,clay soil,60,150
276,kidneybeans,june,maharashtra,15,25,5.6,clay soil,60,150
277,kidneybeans,july,maharashtra,15,25,5.6,clay soil,60,150
278,kidneybeans,february,punjab,15,25,5.6,clay soil,60,150
279,kidneybeans,march,punjab,15,25,5.6,clay soil,60,150
280,kidneybeans,january,punjab,15,25,5.6,clay soil,60,150
281,kidneybeans,may,punjab,15,25,5.6,clay soil,60,150
282,kidneybeans,june,punjab,15,25,5.6,clay soil,60,150
283,kidneybeans,july,punjab,15,25,5.6,clay soil,60,150
284,kidneybeans,october,punjab,15,25,5.6,clay soil,60,150
285,kidneybeans,november,punjab,15,25,5.6,clay soil,60,150
286,kidneybeans,february,rajasthan,15,25,5.6,clay soil,60,150
287,kidneybeans,march,rajasthan,15,25,5.6,clay soil,60,150
288,kidneybeans,may,rajasthan,15,25,5.6,clay soil,60,150
289,kidneybeans,june,rajasthan,15,25,5.6,clay soil,60,150
290,kidneybeans,july,rajasthan,15,25,5.6,clay soil,60,150
291,kidneybeans,january,rajasthan,15,25,5.6,clay soil,60,150
292,kidneybeans,october,rajasthan,15,25,5.6,clay soil,60,150
293,kidneybeans,november,rajasthan,15,25,5.6,clay soil,60,150
294,kidneybeans,january,tamil nadu,15,25,5.6,clay soil,60,150
295,kidneybeans,february,tamil nadu,15,25,5.6,clay soil,60,150
296,kidneybeans,june,tamil nadu,15,25,5.6,clay soil,60,150
297,kidneybeans,july,tamil nadu,15,25,5.6,clay soil,60,150
298,kidneybeans,october,tamil nadu,15,25,5.6,clay soil,60,150
299,kidneybeans,november,tamil nadu,15,25,5.6,clay soil,60,150
300,kidneybeans,november,uttar pradesh,15,25,5.6,clay soil,60,150
301,kidneybeans,january,uttar pradesh,15,25,5.6,clay soil,60,150
302,kidneybeans,february,uttar pradesh,15,25,5.6,clay soil,60,150
303,kidneybeans,october,uttar pradesh,15,25,5.6,clay soil,60,150
304,kidneybeans,june,uttar pradesh,15,25,5.6,clay soil,60,150
305,kidneybeans,july,uttar pradesh,15,25,5.6,clay soil,60,150
306,kidneybeans,february,uttarakhand,15,25,5.6,clay soil,60,150
307,kidneybeans,march,uttarakhand,15,25,5.6,clay soil,60,150
308,kidneybeans,april,uttarakhand,15,25,5.6,clay soil,60,150
309,kidneybeans,may,uttarakhand,15,25,5.6,clay soil,60,150
310,kidneybeans,june,uttarakhand,15,25,5.6,clay soil,60,150
311,kidneybeans,august,uttarakhand,15,25,5.6,clay soil,60,150
312,kidneybeans,september,uttarakhand,15,25,5.6,clay soil,60,150
313,kidneybeans,october,uttarakhand,15,25,5.6,clay soil,60,150
314,kidneybeans,november,uttarakhand,15,25,5.6,clay soil,60,150
315,kidneybeans,january,uttarakhand,15,25,5.6,clay soil,60,150
316,kidneybeans,january,west bengal,15,25,5.6,clay soil,60,150
317,kidneybeans,february,west bengal,15,25,5.6,clay soil,60,150
318,kidneybeans,june,west bengal,15,25,5.6,clay soil,60,150
319,kidneybeans,july,west bengal,15,25,5.6,clay soil,60,150
320,kidneybeans,october,west bengal,15,25,5.6,clay soil,60,150
321,kidneybeans,november,west bengal,15,25,5.6,clay soil,60,150
322,lentil,october,assam,18,30,6,loamy soil,35,55
323,lentil,october,assam,18,30,6,alluvial soil,35,55
324,lentil,october,bihar,18,30,6,loamy soil,35,55
325,lentil,october,bihar,18,30,6,alluvial soil,35,55
326,lentil,october,chhattisgarh,18,30,6,loamy soil,35,55
327,lentil,october,chhattisgarh,18,30,6,alluvial soil,35,55
328,lentil,october,gujrat,18,30,6,loamy soil,35,55
329,lentil,october,gujrat,18,30,6,alluvial soil,35,55
330,lentil,october,haryana,18,30,6,loamy soil,35,55
331,lentil,october,haryana,18,30,6,alluvial soil,35,55
332,lentil,october,himachal pradesh,18,30,6,loamy soil,35,55
333,lentil,october,himachal pradesh,18,30,6,alluvial soil,35,55
334,lentil,october,jammu kashmir,18,30,6,loamy soil,35,55
335,lentil,october,jammu kashmir,18,30,6,alluvial soil,35,55
336,lentil,october,madhya pradesh,18,30,6,loamy soil,35,55
337,lentil,october,madhya pradesh,18,30,6,alluvial soil,35,55
338,lentil,october,maharashtra,18,30,6,loamy soil,35,55
339,lentil,october,maharashtra,18,30,6,alluvial soil,35,55
340,lentil,october,punjab,18,30,6,loamy soil,35,55
341,lentil,october,punjab,18,30,6,alluvial soil,35,55
342,lentil,october,rajasthan,18,30,6,loamy soil,35,55
343,lentil,october,rajasthan,18,30,6,alluvial soil,35,55
344,lentil,november,uttar pradesh,18,30,6,loamy soil,35,55
345,lentil,november,uttar pradesh,18,30,6,alluvial soil,35,55
346,lentil,november,uttarakhand,18,30,6,loamy soil,35,55
347,lentil,november,uttarakhand,18,30,6,alluvial soil,35,55
348,maize,june,andhra pradesh,25,30,5.5,loamy soil,50,100
349,maize,july,andhra pradesh,25,30,5.5,loamy soil,50,100
350,maize,august,andhra pradesh,25,30,5.5,loamy soil,50,100
351,maize,may,karnataka,25,30,5.5,loamy soil,50,100
352,maize,june,karnataka,25,30,5.5,loamy soil,50,100
353,maize,july,karnataka,25,30,5.5,loamy soil,50,100
354,maize,august,karnataka,25,30,5.5,loamy soil,50,100
355,maize,october,karnataka,25,30,5.5,loamy soil,50,100
356,maize,november,karnataka,25,30,5.5,loamy soil,50,100
357,maize,december,karnataka,25,30,5.5,loamy soil,50,100
358,maize,december,tamil nadu,25,30,5.5,loamy soil,50,100
359,maize,january,tamil nadu,25,30,5.5,loamy soil,50,100
360,maize,february,tamil nadu,25,30,5.5,loamy soil,50,100
361,maize,june,rajasthan,25,30,5.5,loamy soil,50,100
362,maize,july,rajasthan,25,30,5.5,loamy soil,50,100
363,maize,june,maharashtra,25,30,5.5,loamy soil,50,100
364,maize,july,maharashtra,25,30,5.5,loamy soil,50,100
365,maize,august,maharashtra,25,30,5.5,loamy soil,50,100
366,maize,september,maharashtra,25,30,5.5,loamy soil,50,100
367,maize,october,maharashtra,25,30,5.5,loamy soil,50,100
368,maize,november,maharashtra,25,30,5.5,loamy soil,50,100
369,maize,december,maharashtra,25,30,5.5,loamy soil,50,100
370,maize,june,bihar,25,30,5.5,loamy soil,50,100
371,maize,july,bihar,25,30,5.5,loamy soil,50,100
372,maize,october,bihar,25,30,5.5,loamy soil,50,100
373,maize,november,bihar,25,30,5.5,loamy soil,50,100
374,maize,december,bihar,25,30,5.5,loamy soil,50,100
375,maize,june,uttar pradesh,25,30,5.5,loamy soil,50,100
376,maize,july,uttar pradesh,25,30,5.5,loamy soil,50,100
377,maize,august,uttar pradesh,25,30,5.5,loamy soil,50,100
378,maize,september,uttar pradesh,25,30,5.5,loamy soil,50,100
379,maize,october,uttar pradesh,25,30,5.5,loamy soil,50,100
380,maize,january,madhya pradesh,25,30,5.5,loamy soil,50,100
381,maize,february,madhya pradesh,25,30,5.5,loamy soil,50,100
382,maize,march,madhya pradesh,25,30,5.5,loamy soil,50,100
383,maize,april,madhya pradesh,25,30,5.5,loamy soil,50,100
384,maize,may,madhya pradesh,25,30,5.5,loamy soil,50,100
385,maize,june,madhya pradesh,25,30,5.5,loamy soil,50,100
386,maize,july,madhya pradesh,25,30,5.5,loamy soil,50,100
387,maize,august,madhya pradesh,25,30,5.5,loamy soil,50,100
388,maize,september,madhya pradesh,25,30,5.5,loamy soil,50,100
389,maize,october,madhya pradesh,25,30,5.5,loamy soil,50,100
390,maize,november,madhya pradesh,25,30,5.5,loamy soil,50,100
391,maize,december,madhya pradesh,25,30,5.5,loamy soil,50,100
392,maize,april,gujrat,25,30,5.5,loamy soil,50,100
393,maize,may,gujrat,25,30,5.5,loamy soil,50,100
394,maize,june,gujrat,25,30,5.5,loamy soil,50,100
395,maize,july,gujrat,25,30,5.5,loamy soil,50,100
396,maize,august,gujrat,25,30,5.5,loamy soil,50,100
397,maize,september,gujrat,25,30,5.5,loamy soil,50,100
398,maize,october,gujrat,25,30,5.5,loamy soil,50,100
399,maize,november,gujrat,25,30,5.5,loamy soil,50,100
400,maize,december,gujrat,25,30,5.5,loamy soil,50,100
401,mungbean,july,rajasthan,32,37,6.2,loamy soil,60,90
402,mungbean,august,rajasthan,32,37,6.2,loamy soil,60,90
403,mungbean,june,maharashtra,32,37,6.2,loamy soil,60,90
404,mungbean,july,maharashtra,32,37,6.2,loamy soil,60,90
405,mungbean,june,andhra pradesh,32,37,6.2,loamy soil,60,90
406,mungbean,july,andhra pradesh,32,37,6.2,loamy soil,60,90
407,mungbean,october,andhra pradesh,32,37,6.2,loamy soil,60,90
408,mungbean,november,andhra pradesh,32,37,6.2,loamy soil,60,90
409,mungbean,january,andhra pradesh,32,37,6.2,loamy soil,60,90
410,mungbean,february,andhra pradesh,32,37,6.2,loamy soil,60,90
411,mungbean,july,gujrat,32,37,6.2,loamy soil,60,90
412,mungbean,august,gujrat,32,37,6.2,loamy soil,60,90
413,mungbean,july,bihar,32,37,6.2,loamy soil,60,90
414,mungbean,august,bihar,32,37,6.2,loamy soil,60,90
415,mungbean,june,karnataka,32,37,6.2,loamy soil,60,90
416,mungbean,july,karnataka,32,37,6.2,loamy soil,60,90
417,mungbean,october,karnataka,32,37,6.2,loamy soil,60,90
418,mungbean,november,karnataka,32,37,6.2,loamy soil,60,90
419,mungbean,january,karnataka,32,37,6.2,loamy soil,60,90
420,mungbean,february,karnataka,32,37,6.2,loamy soil,60,90
421,mungbean,june,odisha,32,37,6.2,loamy soil,60,90
422,mungbean,july,odisha,32,37,6.2,loamy soil,60,90
423,mungbean,october,odisha,32,37,6.2,loamy soil,60,90
424,mungbean,november,odisha,32,37,6.2,loamy soil,60,90
425,mungbean,january,odisha,32,37,6.2,loamy soil,60,90
426,mungbean,february,odisha,32,37,6.2,loamy soil,60,90
427,mungbean,june,madhya pradesh,32,37,6.2,loamy soil,60,90
428,mungbean,july,madhya pradesh,32,37,6.2,loamy soil,60,90
429,mungbean,july,punjab,32,37,6.2,loamy soil,60,90
430,mungbean,august,punjab,32,37,6.2,loamy soil,60,90
431,mungbean,february,punjab,32,37,6.2,loamy soil,60,90
432,mungbean,march,punjab,32,37,6.2,loamy soil,60,90
433,mungbean,july,uttar pradesh,32,37,6.2,loamy soil,60,90
434,mungbean,august,uttar pradesh,32,37,6.2,loamy soil,60,90
435,mungbean,february,uttar pradesh,32,37,6.2,loamy soil,60,90
436,mungbean,march,uttar pradesh,32,37,6.2,loamy soil,60,90
437,mungbean,april,uttar pradesh,32,37,6.2,loamy soil,60,90
438,mungbean,july,assam,32,37,6.2,loamy soil,60,90
439,mungbean,august,assam,32,37,6.2,loamy soil,60,90
440,mungbean,september,assam,32,37,6.2,loamy soil,60,90
441,mungbean,february,assam,32,37,6.2,loamy soil,60,90
